,2012,2016,2020,2024
France,164,126,61,237
Allemagne,150,155,134,142
Ukraine,148,172,138,74
Japon,116,132,255,176
Royaume-Uni,288,265,227,215
Norvège,22,25,15,13
Turquie,69,81,87,94
Chine,282,327,251,284
Etats-Unis,227,289,234,220
Pays-Bas,91,126,72,84
